anime_id,title,title_english,title_japanese,anime_type,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity_rank,members,favorites,source,rating,season,season_year,duration,studios,producers,genres,extracted_at
104,Ayashi no Ceres,"Ceres, Celestial Legend",妖しのセレス,TV,24.0,Finished Airing,2000-04-20T00:00:00+00:00,2000-09-28T00:00:00+00:00,7.17,28516,3736,3025,65972,498,Manga,R - 17+ (violence & profanity),spring,2000.0,21 min per ep,Studio Pierrot,Bandai Visual|Shogakukan,Adventure|Drama|Horror|Romance|Supernatural,2026-01-25T21:29:44.443864
105,Boys Be...,Boys Be...,ボーイズ・ビー,TV,13.0,Finished Airing,2000-04-11T00:00:00+00:00,2000-07-04T00:00:00+00:00,6.38,9984,8195,4922,25389,48,Manga,PG-13 - Teens 13 or older,spring,2000.0,23 min per ep,HAL Film Maker,,Comedy|Romance,2026-01-25T21:29:45.652749
107,Ou Dorobou Jing,Jing: King of Bandits,王ドロボウ JING,TV,13.0,Finished Airing,2002-05-15T00:00:00+00:00,2002-08-14T00:00:00+00:00,7.17,15199,3708,3996,39924,211,Manga,PG-13 - Teens 13 or older,spring,2002.0,24 min per ep,Studio Deen,Aniplex,Adventure|Comedy|Fantasy|Sci-Fi,2026-01-25T21:29:46.859023
108,Ou Dorobou Jing in Seventh Heaven,Jing: King of Bandits - Seventh Heaven,王ドロボウ JING in Seventh Heaven,OVA,3.0,Finished Airing,2004-01-21T00:00:00+00:00,2004-04-28T00:00:00+00:00,7.23,5708,3362,6294,13621,28,Manga,PG-13 - Teens 13 or older,,,28 min per ep,Studio Deen,Aniplex,Adventure|Comedy|Fantasy,2026-01-25T21:29:48.088967
109,Bakuretsu Tenshi,Burst Angel,爆裂天使,TV,24.0,Finished Airing,2004-04-07T00:00:00+00:00,2004-09-15T00:00:00+00:00,6.77,32403,5754,2798,75539,239,Original,PG-13 - Teens 13 or older,spring,2004.0,23 min per ep,Gonzo,GDH|TV Asahi|Imagica,Adventure|Sci-Fi,2026-01-25T21:29:49.321046
110,Chuuka Ichiban!,Cooking Master Boy,中華一番,TV,52.0,Finished Airing,1997-04-27T00:00:00+00:00,1998-09-13T00:00:00+00:00,7.59,8791,1728,5274,21621,125,Manga,PG-13 - Teens 13 or older,spring,1997.0,23 min per ep,Nippon Animation,,Action|Comedy|Drama|Gourmet,2026-01-25T21:29:50.543383
111,Corrector Yui,Corrector Yui,コレクター・ユイ,TV,52.0,Finished Airing,1999-04-09T00:00:00+00:00,2000-10-20T00:00:00+00:00,6.87,7799,5243,5543,19041,67,Original,G - All Ages,spring,1999.0,25 min per ep,Nippon Animation,NHK|Studio Tron,Adventure|Comedy|Sci-Fi,2026-01-25T21:29:51.809745
112,Chou Henshin Cosprayers,The Cosmopolitan Prayers,超変身コス∞プレイヤー,TV,8.0,Finished Airing,2004-01-13T00:00:00+00:00,2004-03-02T00:00:00+00:00,4.82,3694,14217,7210,9820,4,Original,PG-13 - Teens 13 or older,winter,2004.0,17 min per ep,Imagin|Studio Live,m.o.e.,Action|Adventure|Comedy|Fantasy|Sci-Fi|Ecchi,2026-01-25T21:29:53.053965
113,Uchuu no Stellvia,Stellvia,宇宙のステルヴィア,TV,26.0,Finished Airing,2003-04-03T00:00:00+00:00,2003-09-25T00:00:00+00:00,7.32,10259,2886,4818,26825,129,Original,PG-13 - Teens 13 or older,spring,2003.0,23 min per ep,Xebec,Starchild Records|TV Tokyo Music,Romance|Sci-Fi,2026-01-25T21:29:54.258053
114,Sakigake!! Cromartie Koukou,Cromartie High School,魁!! クロマティ高校,TV,26.0,Finished Airing,2003-10-03T00:00:00+00:00,2004-03-26T00:00:00+00:00,7.88,57785,935,1714,152825,1760,Manga,PG-13 - Teens 13 or older,fall,2003.0,11 min per ep,Production I.G,TV Tokyo Music,Comedy,2026-01-25T21:29:55.474223
116,Shinpi no Sekai El-Hazard (TV),El-Hazard: The Wanderers,神秘の世界エルハザード,TV,26.0,Finished Airing,1995-10-06T00:00:00+00:00,1996-03-29T00:00:00+00:00,6.93,7840,4908,5446,19995,41,Original,PG-13 - Teens 13 or older,fall,1995.0,23 min per ep,AIC,TV Tokyo|SoftX|Pioneer LDC|TV Tokyo Music|Atelier Musa|Arts Pro,Adventure|Comedy|Fantasy|Romance,2026-01-25T21:29:56.682784
